,director_name,gross
531,Gina Prince-Bythewood,65207472.0
652,Jason Moore,64998368.0
310,Danny Leiner,64954539.0
1430,Shekhar Kapur,64583631.0
57,Andrew Douglas,64255243.0
1233,Peter Lepeniotis,64238770.0
1493,Steven Zaillian,63924359.0
680,Jeff Wadlow,63642273.0
64,Andrey Konchalovskiy,63599176.0
266,Colin Strause,63168491.0
232,Chris Rock,63065789.0
1329,Robert Altman,62931241.0
1011,Mary Lambert,62686677.0
520,George Nolfi,62453315.0
103,Babak Najafi,62401264.0
1522,Terrence Malick,62401175.0
1118,Måns Mårlind,62321039.0
1573,Tom Tykwer,62025370.0
1390,Salim Akil,61692863.0
58,Andrew Fleming,61589249.0
1563,Tom Hanks,61375788.0
1461,Stephen Kay,61343136.0
275,Craig Gillespie,60696301.0
1478,Steve McQueen,60668174.0
617,James Algar,60507228.0
1061,Michael McCullers,60269340.0
461,Forest Whitaker,60033780.0
1091,Mike Binder,59993021.0
804,Jonathan Dayton,59889948.0
253,Christopher Spencer,59696176.0
992,Mark Pellington,59591197.0
710,Jodie Foster,59485071.0
150,Brad Anderson,58918728.0
748,John Francis Daley,58879132.0
99,Ash Brannon,58867694.0
328,David Cronenberg,58792952.0
181,Bruce McCulloch,58576045.0
642,Jamie Blanks,58432773.0
1021,Matthew O'Callaghan,58336565.0
826,Joseph L. Mankiewicz,57750000.0
442,Ericson Core,57544444.0
743,John Dahl,57472209.0
1076,Michael Tiddes,57356166.0
189,Cal Brunker,57011847.0
337,David Hackl,56729973.0
332,David F. Sandberg,56536016.0
510,Geoffrey Sax,56518241.0
1527,Thea Sharrock,56154094.0
161,Brett Leonard,56149000.0
1261,Preston A. Whitmore II,56131602.0
1470,Steve Box,56068547.0
220,Chris Butler,55994557.0
501,Gary Shore,55942830.0
1580,Tommy Wirkola,55723779.0
1611,Vincent Ward,55350897.0
890,Kevin Munroe,55315950.0
1640,William Shatner,55210049.0
1056,Michael Lehmann,55157862.0
980,Mark A.Z. Dippé,54967359.0
483,Fred Wolf,54800746.0
1150,Nima Nourizadeh,54724272.0
639,James Watkins,54322273.0
1416,Sean McNamara,54265404.0
452,Fede Alvarez,54239856.0
955,Luis Valdez,54215416.0
1224,Peter Hedges,54213634.0
1639,William Malone,54054105.0
1236,Peter MacDonald,53715611.0
88,Anton Corbijn,53705048.0
1519,Ted Demme,52937130.0
1396,Sam Miller,52543632.0
27,Alejandro Agresti,52320979.0
925,Leigh Whannell,52200504.0
102,Ava DuVernay,52066000.0
530,Gillian Armstrong,51511989.0
783,John Wells,51389138.0
379,Denzel Washington,51304289.0
629,James Ivory,51192466.0
269,Cory Edwards,51053787.0
491,Garth Jennings,51019112.0
1496,Stiles White,50820940.0
1393,Sam Fell,50818750.0
539,Graham Annable,50807639.0
41,Alexander Witt,50740078.0
1567,Tom McCarthy,50727556.0
1264,R.J. Cutler,50461335.0
316,Darren Grant,50382128.0
884,Kevin Donovan,50189179.0
819,Jorge R. Gutiérrez,50150619.0
1379,Rupert Wainwright,50041732.0
1630,Will Finn,50026353.0
509,Geoff Murphy,50024083.0
82,Anthony Hemingway,49875589.0
355,David S. Ward,49797148.0
1352,Rod Lurie,49650799.0
645,Jane Campion,49315510.0
412,Dwight H. Little,49294393.0
1135,Nicholas Hytner,48988266.0
1,Aaron Seltzer,48546578.0
1351,Robin Budd,48423368.0
1564,Tom Holland,48416159.0
682,Jennifer Flackett,48006503.0
206,Cedric Nicolas-Troyan,47952020.0
1435,Simon Curtis,47902442.0
1484,Steve Trenbirth,47887943.0
1033,Mennan Yapo,47852604.0
134,Bille Woodruff,47605622.0
1053,Michael Hoffman,47437811.0
244,Christophe Gans,46982632.0
238,Christian Ditter,46813366.0
551,Griffin Dunne,46611204.0
1402,Sarah Smith,46440491.0
1444,Stanley Kramer,46300000.0
1206,Paul Weiland,46012734.0
1186,Patrick Tatopoulos,45802315.0
258,Clare Kilner,45693818.0
849,Jun Falkenstein,45542421.0
166,Brian Gibson,44834712.0
428,Elizabeth Allen Rosenbaum,44757122.0
245,Christopher Cain,44726644.0
1081,Michel Hazanavicius,44667095.0
447,Eugenio Derbez,44456509.0
1072,Michael Rymer,44310945.0
308,Danny Cannon,44269585.0
455,Fernando Meirelles,44202164.0
1528,Theodore Melfi,44134898.0
126,Bernardo Bertolucci,43984230.0
493,Gary David Goldberg,43894863.0
1132,Nelson McCormick,43818159.0
1422,Shana Feste,43728548.0
686,Jerome Robbins,43650000.0
101,Audrey Wells,43601508.0
1413,Scott Waugh,43568507.0
225,Chris Kentis,43056112.0
698,Jim Fall,42672630.0
1499,Stuart Gillard,42660000.0
1048,Michael Dougherty,42592530.0
923,Lee Toland Krieger,42478175.0
309,Danny DeVito,42284315.0
818,Jorge Blanco,42194060.0
860,Karyn Kusama,42062780.0
407,Drew Goddard,42043633.0
1544,Tim Robbins,41924970.0
1542,Tim McCanlies,41407470.0
1551,Todd Field,41378253.0
306,Daniel Stamm,40990055.0
1294,Richard Fleischer,40900000.0
873,Ken Scott,40873830.0
342,David Lynch,40817444.0
1114,Morgan Spurlock,40402742.0
1211,Perry Andelin Blake,40363530.0
345,David Mirkin,40334024.0
114,Beeban Kidron,40203020.0
1258,Pitof,40198710.0
233,Chris Stokes,40066497.0
135,Billy Bob Thornton,40002541.0
204,Cathy Malkasian,39880476.0
1648,Xavier Gens,39709528.0
571,Harry Elfont,39591947.0
713,Joe Camp,39552600.0
1466,Steve Antin,39440655.0
745,John Eng,39399750.0
1182,Patrick Hughes,39292022.0
554,Gurinder Chadha,39142798.0
1267,Rachel Talalay,38936626.0
320,Dave Green,38916903.0
632,James Marsh,38845241.0
1489,Steven Seagal,38590500.0
1248,Phil Joanou,38432823.0
741,John Crowley,38317535.0
