director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Hyung-rae Shim,97.0,207.0,52.0,920.0,1787.0,11119970.0,22418,6169,5.0,381.0,48400000.0,4017.0,1009.0,7.2,4.13,502
Daisy von Scherler Mayer,93.0,178.0,36.0,927.0,1658.0,11061152.0,15142,4911,3.0,148.0,24000000.0,4000.0,1314.0,9.2,1.85,754
Jon Kasdan,81.0,97.0,21.0,499.0,17000.0,11043445.0,27689,20312,0.0,74.0,10000000.0,2007.0,1000.0,6.5,2.35,1000
William Arntz,74.0,109.0,0.0,428.0,847.0,10941801.0,12059,2649,0.0,486.0,0.0,2004.0,670.0,5.4,1.85,2000
Niels Arden Oplev,217.0,206.0,152.0,249.0,3690.0,10880926.0,54482,5251,2.0,127.0,30000000.0,2013.0,772.0,14.6,2.35,22
Costa-Gavras,128.0,247.0,666.0,601.0,1352.0,10830495.0,27639,4035,4.0,128.0,153000000.0,3999.0,1039.0,13.5,4.2,697
Fred Dekker,75.0,104.0,87.0,691.0,1000.0,10696210.0,35018,3148,0.0,180.0,23500000.0,1993.0,826.0,3.9,1.85,716
Bill Duke,45.0,99.0,1000.0,409.0,849.0,10572742.0,2326,2269,1.0,21.0,8000000.0,2009.0,578.0,6.1,1.85,738
Michael Patrick Jann,77.0,97.0,31.0,551.0,4000.0,10561238.0,27265,6388,0.0,321.0,10000000.0,1999.0,980.0,6.5,1.85,0
Damon Santostefano,81.0,98.0,4.0,677.0,2000.0,10544143.0,16372,4843,2.0,121.0,20000000.0,1999.0,1000.0,6.1,1.37,311
Mark Piznarski,44.0,96.0,4.0,670.0,989.0,10494147.0,7403,3142,1.0,162.0,15000000.0,2000.0,841.0,5.1,1.85,648
Mic Rodgers,75.0,83.0,7.0,485.0,2000.0,10431220.0,24216,4024,0.0,162.0,24000000.0,1999.0,577.0,4.1,1.85,401
Catherine Owens,68.0,85.0,0.0,44.0,468.0,10353690.0,2673,646,0.0,31.0,0.0,2007.0,67.0,8.4,1.78,116
Michael Martin,19.0,93.0,0.0,78.0,625.0,10305534.0,1721,987,2.0,38.0,3500000.0,1998.0,118.0,3.9,1.85,280
Troy Duffy,191.0,240.0,156.0,1152.0,24000.0,10269307.0,251096,30204,2.0,1064.0,15000000.0,4008.0,3333.0,14.2,4.7,16000
Wallace Wolodarsky,53.0,93.0,32.0,503.0,529.0,10198766.0,12007,2393,3.0,105.0,12000000.0,2002.0,526.0,5.4,1.85,507
Louis Morneau,97.0,91.0,38.0,91.0,730.0,10149779.0,8294,1405,0.0,160.0,6500000.0,1999.0,461.0,3.6,2.35,342
Mike Disa,77.0,86.0,6.0,843.0,1000.0,10134754.0,9682,5393,0.0,38.0,30000000.0,2011.0,857.0,4.8,1.85,0
Jonathan Kaplan,70.0,100.0,57.0,92.0,181.0,10114315.0,18693,582,0.0,187.0,25000000.0,1999.0,151.0,6.4,2.35,0
Hark Tsui,67.0,91.0,85.0,105.0,635.0,10076136.0,11512,1352,0.0,141.0,35000000.0,1998.0,316.0,4.8,2.35,471
Victor Nunez,72.0,227.0,18.0,128.0,561.0,10056173.0,7783,1210,2.0,85.0,3500000.0,3990.0,365.0,14.3,3.51,462
Takao Okawara,107.0,99.0,2.0,3.0,43.0,10037390.0,5442,53,0.0,140.0,1000000000.0,1999.0,3.0,6.0,2.35,339
Benny Boom,49.0,84.0,23.0,706.0,1000.0,10017041.0,8265,4815,3.0,20.0,3000000.0,2009.0,927.0,5.9,1.85,545
Bob Saget,51.0,162.0,1598.0,1148.0,3721.0,9975684.0,24355,12532,0.0,164.0,13000000.0,4004.0,2359.0,10.6,3.7,1098
John Curran,281.0,230.0,86.0,834.0,24000.0,9843714.0,112641,40374,1.0,355.0,41400000.0,4016.0,14594.0,12.9,4.7,0
Mamoru Hosoda,29.0,82.0,99.0,44.0,93.0,9628751.0,5164,315,0.0,65.0,5000000.0,2000.0,45.0,5.9,1.85,207
Elia Kazan,289.0,351.0,1809.0,560.0,20936.0,9600000.0,190135,23510,5.0,627.0,4710000.0,5852.0,1129.0,23.6,4.59,5000
